"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","159","Проверка система вернёт ошибку, если неправильно указать логин","tests","2025-10-20","passed","2025-10-20","TestCourierLogin","test_courier_login","",""
"","423","Проверка нельзя создать двух одинаковых курьеров и если создать пользователя с логином, который уже есть, возвращается ошибка","tests","2025-10-20","passed","2025-10-20","TestCourierCreate","test_courier_create","",""
"","64","Проверка если пароля нет - запрос возвращает ошибку","tests","2025-10-20","passed","2025-10-20","TestCourierCreate","test_courier_create","",""
"","96","Проверка когда создаёшь заказ: цвета ['BLACK'] и тело ответа содержит track","tests","2025-10-20","passed","2025-10-20","TestOrderCreate","test_order_create","",""
"","96","Проверка когда создаёшь заказ: цвета ['GREY'] и тело ответа содержит track","tests","2025-10-20","passed","2025-10-20","TestOrderCreate","test_order_create","",""
"","187","Проверка если поля логин нет, запрос возвращает ошибку","tests","2025-10-20","passed","2025-10-20","TestCourierLogin","test_courier_login","",""
"","232","Проверка курьер может авторизоваться и для авторизации нужно передать все обязательные поля и успешный запрос возвращает id","tests","2025-10-20","passed","2025-10-20","TestCourierLogin","test_courier_login","",""
"","95","Проверка когда создаёшь заказ: цвета [] и тело ответа содержит track","tests","2025-10-20","passed","2025-10-20","TestOrderCreate","test_order_create","",""
"","165","Проверка система вернёт ошибку, если неправильно указать пароль","tests","2025-10-20","passed","2025-10-20","TestCourierLogin","test_courier_login","",""
"","197","Проверка если авторизоваться под несуществующим пользователем, запрос возвращает ошибку","tests","2025-10-20","passed","2025-10-20","TestCourierLogin","test_courier_login","",""
"","6924","Проверка в тело ответа возвращается список заказов","tests","2025-10-20","passed","2025-10-20","TestOrderList","test_order_list","",""
"","175","Проверка если поля пароль нет, запрос возвращает ошибку","tests","2025-10-20","passed","2025-10-20","TestCourierLogin","test_courier_login","",""
"","81","Проверка когда создаёшь заказ: цвета ['BLACK', 'GREY'] и тело ответа содержит track","tests","2025-10-20","passed","2025-10-20","TestOrderCreate","test_order_create","",""
"","898","Проверка курьера можно создать и успешный запрос возвращает {""ok"":true} и запрос возвращает правильный код ответа - 201 и нужно передать в ручку все обязательные поля (логин - пароль) и Проверка если имени нет - создание происходит","tests","2025-10-20","passed","2025-10-20","TestCourierCreate","test_courier_create","",""
"","78","Проверка если логина нет - запрос возвращает ошибку","tests","2025-10-20","passed","2025-10-20","TestCourierCreate","test_courier_create","",""
